iter	Recall	CrossEntropy
0	0.6367806283	0.6914861164
1	0.5226945437	0.6898337913
2	0.5561629954	0.6883338186
3	0.5540562163	0.6869362739
4	0.5717104912	0.6856104408
5	0.5631767028	0.6844382065
6	0.5526161395	0.6832380535
7	0.5574163955	0.6821725068
8	0.5508560457	0.6811344782
9	0.5438423383	0.6802017802
10	0.5377353459	0.679383567
11	0.5259747187	0.6786063614
12	0.5366419542	0.6777746265
13	0.5357085711	0.6770446985
14	0.5481892368	0.6763793564
15	0.5487492666	0.6757913141
16	0.5508293776	0.6752183133
17	0.5511493946	0.6747577177
18	0.5534961865	0.6742169703
19	0.5522427863	0.6737533176
20	0.544055683	0.673381802
21	0.5429889594	0.6728187618
22	0.5434156488	0.6723861356
23	0.5441623553	0.6720321465
24	0.5419489039	0.6716727742
25	0.5411488613	0.6712761492
26	0.5413888741	0.6707167635
27	0.5384820524	0.6702411454
28	0.5340551496	0.6698498326
29	0.5349085285	0.6696610037
30	0.5319217025	0.6693442685
31	0.5328817537	0.6689993245
32	0.5305082938	0.6687247246
33	0.5263214038	0.6684271651
34	0.5207477732	0.6681664769
35	0.515894181	0.6679470194
36	0.5107205718	0.667764396
37	0.5088004694	0.6674839171
38	0.504800256	0.6673042514
39	0.5016267534	0.6671034124
40	0.4971198464	0.6669482628
41	0.4937329991	0.6667467788
42	0.4908795136	0.666661634
43	0.4888527388	0.6665056215
44	0.4847725212	0.6663557582
45	0.4795722439	0.6662059754
46	0.474211958	0.6660555499
47	0.4709851192	0.6659112088
48	0.4686649955	0.6657520522
49	0.4669582378	0.6655934402
50	0.4638380714	0.6654491712
51	0.4625846712	0.665333236
52	0.4609312497	0.6652589149
53	0.46343805	0.6650360593
54	0.4641580884	0.6649074952
55	0.4612779348	0.6648066834
56	0.4607979092	0.6647286881
57	0.4596245133	0.6645700038
58	0.4585577897	0.6644316146
59	0.4564243426	0.6643344931
60	0.4534908528	0.6642180714
61	0.4521574484	0.6640962282
62	0.4510373887	0.6640196961
63	0.4504240226	0.6639207217
64	0.4506373673	0.6638180473
65	0.4503173503	0.6637752608
66	0.4482905755	0.6637303795
67	0.4474905328	0.663649837
68	0.44725052	0.6635148688
69	0.4471705158	0.6634148438
70	0.4462104646	0.6633986717
71	0.4456237666	0.663334348
72	0.4441836898	0.6632856831
73	0.4432503067	0.6632190543
74	0.4431169662	0.6631556651
75	0.4425036002	0.6631016508
76	0.4416502213	0.6630857393
77	0.440636834	0.6629920978
78	0.4409301829	0.6629327144
79	0.4415968852	0.6628761975
80	0.4419702384	0.6627648625
81	0.4418902341	0.6627237119
82	0.4423169236	0.6626755326
83	0.4415168809	0.6626579841
84	0.4413568724	0.6625963213
85	0.4411435277	0.6625491183
86	0.4408501787	0.6624755323
87	0.4405834978	0.6624422268
88	0.4401568084	0.6623666685
89	0.4397034509	0.6623333341
90	0.4396234466	0.6622606486
91	0.438850072	0.6622502782
92	0.4384500507	0.6622499799
93	0.4391967572	0.662198541
94	0.4392767614	0.6621471743
95	0.4388234039	0.6621460864
96	0.4387700677	0.6621060348
97	0.4391167529	0.66207848
98	0.4401834765	0.6620023036
99	0.4398101232	0.6619866325
100	0.4394901061	0.6619796614
101	0.4390367486	0.6619116655
102	0.4389034082	0.6619063169
103	0.4388234039	0.6618332666
104	0.4386633954	0.661812957
105	0.4388767401	0.6617771542
106	0.4385833911	0.6617689068
107	0.4383167102	0.661768796
108	0.4379966932	0.6617341812
109	0.4374366633	0.6616580513
110	0.437650008	0.6616224495
111	0.437943357	0.6616024697
112	0.4380766974	0.6615653599
113	0.4373299909	0.6615264921
114	0.4372233186	0.6615186638
115	0.4371433143	0.661473481
116	0.4369033015	0.6614474373
117	0.4371699824	0.6614227993
118	0.437036642	0.6614199022
119	0.4368766334	0.6614187764
120	0.4367166249	0.661412131
121	0.4369299696	0.6613741595
122	0.4365032802	0.6613463984
123	0.4359699184	0.6613360583
124	0.4362099312	0.661292404
125	0.436449944	0.6612474372
126	0.436449944	0.661241071
127	0.4363966078	0.6612335759
128	0.4361299269	0.6612244835
129	0.4353298843	0.6611777906
130	0.4354365566	0.6611515502
131	0.4361032588	0.6611175633
132	0.435836578	0.6611123137
