iter	Passed	Remaining
0	73	73744
1	157	78612
2	231	77059
3	294	73295
4	353	70442
5	413	68555
6	478	67927
7	563	69812
8	628	69175
9	706	69907
10	765	68862
11	826	68008
12	888	67458
13	935	65907
14	999	65632
15	1082	66544
16	1144	66159
17	1188	64820
18	1247	64402
19	1300	63706
20	1362	63514
21	1417	63012
22	1466	62286
23	1509	61400
24	1556	60705
25	1618	60635
26	1683	60681
27	1749	60720
28	1812	60686
29	1860	60143
30	1907	59619
31	1961	59349
32	2009	58889
33	2060	58555
34	2119	58435
35	2190	58652
36	2260	58840
37	2315	58622
38	2365	58283
39	2416	57989
40	2471	57814
41	2515	57383
42	2545	56652
43	2594	56368
44	2640	56027
45	2690	55804
46	2737	55514
47	2784	55220
48	2834	55011
49	2881	54747
50	2931	54546
51	2974	54232
52	3029	54130
53	3081	53981
54	3142	54002
55	3190	53787
56	3240	53603
57	3295	53527
58	3351	53449
59	3404	53343
60	3467	53383
61	3534	53472
62	3607	53651
63	3668	53655
64	3733	53704
65	3769	53347
66	3812	53093
67	3849	52762
68	3895	52557
69	3939	52344
70	3969	51944
71	4027	51911
72	4070	51693
73	4135	51755
74	4232	52205
75	4317	52490
76	4365	52330
77	4454	52650
78	4538	52910
79	4614	53061
80	4703	53358
81	4795	53681
82	4862	53721
83	4915	53600
84	4994	53768
85	5085	54048
86	5147	54018
87	5204	53941
88	5266	53909
89	5316	53760
90	5373	53675
91	5407	53370
92	5423	52893
93	5475	52770
94	5534	52725
95	5570	52459
96	5638	52492
97	5700	52464
98	5770	52520
99	5819	52372
100	5844	52025
101	5896	51914
102	5917	51534
103	5968	51418
104	6027	51373
105	6071	51204
106	6095	50871
107	6112	50486
108	6168	50419
109	6220	50326
110	6270	50222
111	6319	50101
112	6369	49995
113	6424	49928
114	6455	49676
115	6519	49682
116	6583	49687
117	6628	49546
118	6660	49311
119	6700	49134
120	6722	48833
121	6766	48695
122	6811	48569
123	6842	48341
124	6893	48257
125	6943	48165
126	6977	47966
127	7039	47957
128	7061	47679
129	7105	47549
130	7149	47429
131	7201	47356
132	7251	47272
133	7304	47204
134	7331	46979
135	7348	46683
136	7384	46514
137	7438	46465
138	7468	46263
139	7526	46236
140	7561	46065
141	7659	46277
142	7716	46242
143	7762	46142
144	7823	46131
145	7863	45995
146	7922	45974
147	7961	45830
148	8027	45846
149	8086	45825
150	8109	45595
151	8157	45512
152	8214	45472
153	8229	45207
154	8278	45133
155	8302	44918
156	8328	44718
157	8372	44615
158	8420	44538
159	8444	44333
160	8505	44325
161	8536	44156
162	8610	44216
163	8662	44159
164	8683	43941
165	8712	43773
166	8768	43735
167	8831	43738
168	8850	43519
169	8874	43330
170	8948	43381
171	8975	43207
172	9044	43234
173	9112	43257
174	9176	43260
175	9240	43262
176	9296	43226
177	9347	43166
178	9399	43110
179	9452	43059
180	9514	43050
181	9557	42955
182	9615	42929
183	9669	42883
184	9720	42824
185	9751	42677
186	9804	42624
187	9852	42553
188	9897	42469
189	9952	42430
190	9992	42322
191	10230	43055
192	10261	42908
193	10306	42819
194	10351	42732
195	10372	42548
196	10426	42498
197	10478	42445
198	10536	42410
199	10590	42362
200	10611	42180
201	10673	42165
202	10693	41983
203	10759	41981
204	10803	41894
205	10858	41853
206	10916	41819
207	10974	41789
208	10996	41618
209	11033	41508
210	11059	41356
211	11105	41277
212	11125	41106
213	11172	41034
214	11216	40952
215	11258	40863
216	11290	40739
217	11347	40705
218	11387	40611
219	11418	40484
220	11482	40474
221	11533	40419
222	11594	40399
223	11636	40311
224	11689	40262
225	11741	40213
226	11817	40241
227	11841	40093
228	11887	40022
229	11925	39923
230	11945	39766
231	12038	39851
232	12155	40012
233	12252	40108
234	12308	40066
235	12391	40113
236	12432	40024
237	12504	40034
238	12577	40049
239	12655	40075
240	12687	39957
241	12718	39837
242	12789	39841
243	12842	39789
244	12902	39759
245	12937	39653
246	12995	39617
247	13048	39566
248	13073	39431
249	13124	39372
250	13148	39236
251	13234	39282
252	13329	39355
253	13416	39405
254	13481	39387
255	13511	39266
256	13540	39146
257	13619	39168
258	13695	39183
259	13764	39174
260	13794	39058
261	13872	39075
262	13910	38981
263	13952	38899
264	13996	38819
265	14076	38842
266	14108	38731
267	14173	38712
268	14242	38703
269	14270	38582
270	14329	38547
271	14405	38555
272	14481	38564
273	14549	38550
274	14571	38415
275	14632	38383
276	14661	38267
277	14712	38210
278	14743	38100
279	14808	38077
280	14850	37998
281	14873	37869
282	14927	37819
283	14951	37694
284	15003	37639
285	15062	37603
286	15083	37471
287	15127	37398
288	15183	37353
289	15208	37234
290	15245	37145
291	15320	37146
292	15368	37083
293	15397	36974
294	15449	36920
295	15475	36806
296	15526	36751
297	15555	36644
298	15573	36511
299	15606	36414
300	15650	36344
301	15707	36305
302	15765	36265
303	15787	36144
304	15817	36042
305	15874	36003
306	15919	35935
307	15948	35832
308	15973	35720
309	15989	35589
310	16045	35547
311	16109	35523
312	16166	35483
313	16222	35440
314	16266	35372
315	16330	35348
316	16390	35314
317	16408	35190
318	16432	35079
319	16453	34963
320	16511	34925
321	16532	34810
322	16579	34750
323	16594	34623
324	16643	34567
325	16674	34474
326	16697	34364
327	16768	34355
328	16824	34313
329	16913	34340
330	16989	34338
331	17009	34223
332	17038	34128
333	17062	34022
334	17080	33906
335	17109	33810
336	17186	33812
337	17245	33775
338	17336	33802
339	17411	33798
340	17488	33796
341	17553	33773
342	17581	33676
343	17636	33632
344	17691	33588
345	17725	33505
346	17745	33394
347	17784	33320
348	17858	33312
349	17910	33261
350	17983	33251
351	18052	33232
352	18106	33186
353	18145	33113
354	18259	33175
355	18334	33166
356	18399	33139
357	18467	33117
358	18507	33045
359	18536	32953
360	18612	32946
361	18633	32840
362	18704	32823
363	18775	32806
364	18803	32712
365	18871	32690
366	18904	32606
367	18945	32537
368	18989	32472
369	19045	32429
370	19063	32321
371	19089	32226
372	19107	32119
373	19132	32024
374	19182	31970
375	19248	31944
376	19305	31902
377	19361	31858
378	19408	31800
379	19464	31757
380	19506	31691
381	19521	31582
382	19576	31536
383	19629	31488
384	19657	31401
385	19699	31334
386	19746	31277
387	19799	31230
388	19870	31210
389	19892	31113
390	19958	31086
391	19992	31009
392	20038	30950
393	20112	30933
394	20137	30842
395	20220	30841
396	20287	30813
397	20340	30766
398	20402	30731
399	20461	30692
400	20490	30608
401	20510	30511
402	20568	30470
403	20622	30423
404	20673	30372
405	20731	30330
406	20758	30244
407	20824	30215
408	20913	30219
409	20983	30195
410	21053	30171
411	21110	30129
412	21155	30068
413	21214	30027
414	21236	29936
415	21293	29892
416	21346	29843
417	21372	29757
418	21410	29688
419	21463	29640
420	21516	29591
421	21567	29540
422	21612	29480
423	21664	29431
424	21712	29375
425	21774	29339
426	21836	29303
427	21900	29269
428	21972	29245
429	22046	29224
430	22117	29198
431	22191	29177
432	22257	29145
433	22279	29055
434	22343	29021
435	22440	29028
436	22513	29005
437	22579	28971
438	22634	28924
439	22694	28884
440	22752	28840
441	22806	28791
442	22876	28763
443	22944	28731
444	23017	28707
445	23070	28657
446	23122	28605
447	23180	28561
448	23226	28502
449	23280	28453
450	23333	28404
451	23387	28354
452	23458	28326
453	23511	28276
454	23566	28228
455	23614	28172
456	23664	28117
457	23711	28060
458	23768	28014
459	23813	27954
460	23861	27898
461	23936	27873
462	24001	27837
463	24070	27805
464	24172	27811
465	24267	27808
466	24357	27799
467	24438	27780
468	24532	27775
469	24610	27752
470	24686	27726
471	24766	27704
472	24844	27680
473	24913	27647
474	24980	27609
475	25055	27581
476	25131	27555
477	25205	27525
478	25283	27500
479	25357	27470
480	25432	27442
481	25524	27430
482	25607	27409
483	25677	27374
484	25743	27335
485	25806	27293
486	25868	27249
487	25927	27202
488	25986	27155
489	26047	27110
490	26113	27071
491	26173	27024
492	26230	26975
493	26318	26957
494	26415	26948
495	26510	26938
496	26596	26917
497	26654	26868
498	26710	26817
499	26765	26765
500	26819	26712
501	26872	26658
502	26926	26604
503	26972	26544
504	27041	26506
505	27106	26464
506	27173	26422
507	27241	26383
508	27314	26349
509	27393	26319
510	27467	26284
511	27568	26275
512	27652	26250
513	27723	26213
514	27793	26174
515	27872	26143
516	27940	26103
517	28005	26059
518	28064	26009
519	28119	25956
520	28169	25898
521	28225	25845
522	28285	25797
523	28347	25751
524	28398	25693
525	28447	25635
526	28493	25573
527	28548	25520
528	28625	25486
529	28680	25434
530	28745	25388
531	28815	25349
532	28880	25304
533	28936	25251
534	28994	25200
535	29048	25146
536	29112	25101
537	29188	25065
538	29298	25058
539	29367	25016
540	29436	24975
541	29516	24942
542	29577	24893
543	29644	24849
544	29692	24789
545	29756	24742
546	29815	24691
547	29885	24650
548	29955	24608
549	30049	24585
550	30151	24570
551	30235	24539
552	30306	24497
553	30394	24468
554	30484	24442
555	30544	24392
556	30602	24339
557	30677	24300
558	30738	24250
559	30791	24193
560	30843	24136
561	30905	24086
562	30969	24038
563	31027	23986
564	31088	23935
565	31164	23896
566	31228	23848
567	31299	23804
568	31360	23754
569	31418	23701
570	31482	23652
571	31545	23603
572	31596	23545
573	31656	23494
574	31741	23461
575	31806	23412
576	31861	23357
577	31921	23305
578	31987	23258
579	32049	23208
580	32099	23148
581	32161	23098
582	32227	23051
583	32289	23000
584	32353	22951
585	32406	22894
586	32462	22839
587	32535	22797
588	32600	22748
589	32665	22699
590	32761	22672
591	32808	22611
592	32860	22553
593	32922	22502
594	32977	22446
595	33045	22399
596	33127	22362
597	33249	22351
598	33335	22316
599	33396	22264
600	33457	22212
601	33530	22167
602	33594	22117
603	33653	22064
604	33709	22008
605	33800	21976
606	33891	21942
607	33970	21902
608	34043	21857
609	34114	21810
610	34194	21770
611	34268	21725
612	34341	21680
613	34405	21629
614	34464	21575
615	34515	21515
616	34607	21482
617	34702	21450
618	34828	21437
619	34901	21391
620	34957	21334
621	35007	21274
622	35067	21220
623	35120	21162
624	35216	21129
625	35301	21090
626	35413	21067
627	35512	21035
628	35579	20985
629	35640	20931
630	35711	20883
631	35773	20830
632	35841	20779
633	35910	20730
634	35966	20673
635	36023	20617
636	36084	20563
637	36137	20504
638	36208	20455
639	36271	20402
640	36349	20357
641	36411	20304
642	36475	20251
643	36546	20202
644	36604	20146
645	36680	20100
646	36776	20065
647	36856	20020
648	36941	19979
649	36994	19920
650	37053	19864
651	37104	19804
652	37155	19743
653	37215	19689
654	37275	19633
655	37341	19581
656	37413	19532
657	37475	19478
658	37544	19427
659	37626	19383
660	37689	19329
661	37748	19273
662	37816	19221
663	37938	19197
664	38019	19152
665	38081	19098
666	38137	19040
667	38186	18978
668	38237	18918
669	38304	18866
670	38381	18818
671	38445	18765
672	38506	18709
673	38562	18652
674	38629	18599
675	38699	18548
676	38771	18498
677	38832	18442
678	38893	18387
679	38979	18343
680	39037	18286
681	39085	18224
682	39139	18165
683	39189	18105
684	39248	18048
685	39294	17986
686	39356	17931
687	39438	17885
688	39509	17833
689	39576	17780
690	39640	17726
691	39700	17670
692	39748	17608
693	39797	17547
694	39858	17491
695	39938	17444
696	40000	17388
697	40064	17334
698	40116	17274
699	40167	17214
700	40229	17159
701	40279	17098
702	40325	17036
703	40381	16978
704	40448	16925
705	40516	16872
706	40575	16815
707	40642	16761
708	40705	16707
709	40766	16651
710	40819	16591
711	40874	16533
712	40936	16477
713	40995	16421
714	41083	16375
715	41139	16318
716	41199	16261
717	41249	16201
718	41310	16145
719	41365	16086
720	41417	16027
721	41473	15968
722	41551	15919
723	41611	15862
724	41679	15809
725	41793	15773
726	41858	15718
727	41914	15660
728	41974	15603
729	42037	15547
730	42123	15501
731	42182	15443
732	42228	15382
733	42284	15323
734	42335	15263
735	42382	15202
736	42430	15141
737	42484	15082
738	42542	15025
739	42612	14972
740	42685	14919
741	42754	14866
742	42824	14812
743	42881	14754
744	42933	14695
745	42979	14633
746	43024	14572
747	43099	14520
748	43171	14467
749	43229	14409
750	43276	14348
751	43337	14292
752	43380	14229
753	43424	14167
754	43480	14109
755	43537	14051
756	43606	13997
757	43667	13941
758	43743	13889
759	43812	13835
760	43873	13778
761	43926	13719
762	43976	13659
763	44021	13598
764	44075	13539
765	44166	13492
766	44233	13437
767	44278	13375
768	44333	13317
769	44379	13256
770	44432	13197
771	44479	13136
772	44525	13075
773	44564	13012
774	44610	12951
775	44670	12894
776	44719	12834
777	44781	12778
778	44843	12721
779	44884	12659
780	44926	12597
781	44972	12537
782	45021	12477
783	45075	12418
784	45127	12359
785	45221	12312
786	45287	12257
787	45339	12197
788	45393	12139
789	45443	12079
790	45490	12019
791	45537	11959
792	45592	11901
793	45646	11842
794	45718	11789
795	45764	11728
796	45830	11673
797	45903	11619
798	45952	11559
799	46008	11502
800	46055	11442
801	46112	11384
802	46160	11324
803	46229	11269
804	46323	11221
805	46398	11167
806	46466	11112
807	46527	11056
808	46581	10997
809	46632	10938
810	46696	10882
811	46760	10826
812	46818	10768
813	46873	10710
814	46932	10653
815	47005	10599
816	47067	10542
817	47113	10482
818	47175	10425
819	47235	10368
820	47323	10317
821	47382	10260
822	47450	10204
823	47506	10147
824	47563	10089
825	47606	10028
826	47660	9970
827	47723	9913
828	47778	9855
829	47841	9798
830	47906	9742
831	47958	9683
832	48004	9623
833	48056	9565
834	48104	9505
835	48165	9448
836	48215	9389
837	48263	9330
838	48335	9275
839	48413	9221
840	48457	9161
