iter	RMSE
0	0.6730494704
1	0.6638446083
2	0.6547264216
3	0.6458729387
4	0.6374434009
5	0.629510405866	0.6218712387	7	0.6146071528	8	0.6077489049	9	0.6011095351010	0.5951621041111	0.589136512	012	0.583437713	013	0.578048514	014	0.572934115	015	0.568042616	016	0.563371417	017	0.558916418	018	0.554757719	019	0.550771820	020	0.547032921	021	0.543495122	22	0.5401451423	23	0.536920052424	0.5339186112525	0.531076864226	0.5283400882227	0.5257461961228	0.5233681886229	0.5210756809330	0.5189108823331	0.5168651153332	0.5149317682333	0.5130619045334	0.5113992608335	0.5097931636336	0.5082465418337	0.5067545143338	0.5053257787339	0.504001251
40	0.5027565578
41	0.5015910941
42	0.50051979
43	0.4994411253
44	0.4984608239
45	0.4975003631
46	0.4965780493
47	0.4957246195
48	0.4949774685
49	0.4941971883
50	0.4934899924
51	0.4927926708
52	0.4921708348
53	0.4915449478
54	0.4909963285
55	0.4904468189
56	0.4899045052
57	0.4893850087
58	0.4889019376
59	0.4885073677
60	0.4880890236
61	0.4876768696
62	0.4872854611
63	0.4869359135
64	0.4866007279
65	0.4862724394
66	0.4859766339
67	0.4856984101
68	0.4854286272
69	0.4851671783
70	0.4849321334
71	0.4846880628
72	0.4844566059
73	0.4842668823
74	0.4840598753775	0.4838927594776	0.4837101282777	0.4835714181778	0.4834104963779	0.4832570055880	0.4831229373881	0.4829967564882	0.4828477522883	0.4827312047884	0.4826030419885	0.4824927056886	0.4823963248787	0.482292268888	0.482209468
89	0.482126642
90	0.4820292097
91	0.4819443908
92	0.481864228
93	0.4817940129
94	0.481726062
95	0.4816461816
96	0.4815815888
97	0.4815121182
98	0.4814551553
99	0.4813868829
