iter	Passed	Remaining
0	31	3105
1	49	2408
2	71	2306
3	94	2267
4	111	2115
5	128	2018
6	147	1965
7	166	1911
8	183	1857
9	202	1820
10	220	1785
11	238	1750
12	257	1722
13	278	1710
14	296	1682
15	314	1652
16	333	1625
17	351	1599
18	369	1573
19	386	1546
20	404	1522
21	423	1500
22	442	1482
23	464	1471
24	483	1450
25	501	1428
26	520	1406
27	537	1382
28	556	1362
29	574	1341
30	593	1320
31	611	1299
32	632	1283
33	651	1263
34	669	1243
35	685	1218
36	700	1193
37	716	1169
38	732	1145
39	748	1122
40	764	1100
41	780	1078
42	796	1055
43	813	1034
44	828	1012
45	844	990
46	859	969
47	875	948
48	891	928
49	908	908
50	922	886
51	938	866
52	954	846
53	969	826
54	989	809
55	1009	793
56	1030	777
57	1049	759
58	1067	741
59	1086	724
60	1105	706
61	1123	688
62	1141	670
63	1160	652
64	1177	634
65	1196	616
66	1218	600
67	1238	582
68	1254	563
69	1274	546
70	1291	527
71	1309	509
72	1325	490
73	1344	472
74	1365	455
75	1384	437
76	1400	418
77	1422	401
78	1441	383
79	1460	365
80	1475	346
81	1491	327
82	1507	308
83	1523	290
84	1538	271
85	1556	253
86	1576	235
87	1594	217
88	1618	200
89	1636	181
90	1657	163
91	1677	145
92	1695	127
93	1716	109
94	1733	91
95	1752	73
96	1771	54
97	1787	36
98	1803	18
99	1819	0
