iter	CrossEntropy	Recall	F1
0	0.6908078861	0.4839809316	0.544354416
1	0.6885916794	0.5188953101	0.5614257517
2	0.6865646055	0.5194279475	0.5617026179
3	0.6845373972	0.5293616341	0.5664173256
4	0.6827271538	0.5310394418	0.5673395644
5	0.6809430312	0.5341553703	0.568775079
6	0.6792764002	0.5316253429	0.5676667141
7	0.67774487	0.5325041945	0.5679913644
8	0.6762951733	0.5337558923	0.5685270548
9	0.6750026128	0.5336493648	0.5684861552
10	0.6737169396	0.5353804362	0.5694013681
11	0.6726075736	0.5360196011	0.5696696952
12	0.6714875288	0.5346347439	0.5690031462
13	0.6703380296	0.5335694692	0.5684494255
14	0.6693508323	0.5333031505	0.5683430777
15	0.6684738302	0.5331966231	0.5682940676
16	0.6676586384	0.5308530187	0.5671888116
17	0.6668803795	0.530000799	0.5668104983
18	0.6661715886	0.530000799	0.5667943551
19	0.6654749392	0.5309062825	0.5671973027
20	0.6648122077	0.5332232549	0.5682740612
21	0.6642897323	0.5304535407	0.5670120701
22	0.6637845506	0.5309062825	0.5671973027
23	0.663430423	0.530400277	0.5670035587
24	0.6630086851	0.5295480572	0.5665441491
25	0.6627142317	0.5294148979	0.5664743179
26	0.6624722438	0.5286692056	0.5661523543
27	0.6621160306	0.5263522331	0.5650328059
28	0.6617483525	0.5239021013	0.5640231665
29	0.661396252	0.5231297771	0.5638707085
30	0.6610230884	0.5208394365	0.5630344033
31	0.6606555607	0.5183626728	0.562104716
32	0.6602787277	0.5166316014	0.5615817737
33	0.660035233	0.5143146289	0.5604260073
34	0.6597264106	0.5119177608	0.5595679956
35	0.6594832962	0.5096007883	0.5587677033
36	0.6592018155	0.508855096	0.5587659014
37	0.6589606043	0.5074968708	0.5584094006
38	0.6587018805	0.505845695	0.5578103433
39	0.6585051039	0.5035819862	0.5570071434
40	0.6583211521	0.5017443873	0.5560802834
41	0.6581540528	0.5005725852	0.5558644348
42	0.6579856281	0.497776239	0.5543412175
43	0.6577362251	0.4966310687	0.5539613225
44	0.657577004	0.4951130523	0.5532624061
45	0.6574110263	0.4936749314	0.5525845108
46	0.6571814871	0.4920237556	0.5517231082
47	0.6569464309	0.491544382	0.5515479321
48	0.6566911311	0.4910916403	0.5516663675
49	0.656454081	0.4895469919	0.5510274435
50	0.656353019	0.4886415084	0.550734643
51	0.6561798841	0.4877626568	0.5503636036
52	0.6560109193	0.4865375909	0.5498487607
53	0.6558637712	0.4854456843	0.5494084847
54	0.6557108158	0.4842738821	0.5488432459
55	0.6555792923	0.483501558	0.5486966377
56	0.6553812901	0.4831553437	0.5487681302
57	0.6552306375	0.4817172228	0.5479966674
58	0.6550505484	0.4808916349	0.5476381833
59	0.6548221474	0.4806253163	0.5478499765
60	0.6546832591	0.4797464646	0.5474797514
61	0.6545355473	0.478867613	0.5471669405
62	0.6543327828	0.478068657	0.5468780941
63	0.654168767	0.4779621295	0.5470812376
64	0.6540134566	0.4778023383	0.5472236202
65	0.6538156638	0.4772963328	0.5471948706
66	0.6537144599	0.4764707449	0.5466572965
67	0.6536083877	0.4758848438	0.5463189434
68	0.6534115412	0.4761245306	0.5467779919
69	0.6532830326	0.4757250526	0.5466034272
70	0.6532128543	0.4754587339	0.5466152292
71	0.6530743051	0.4753255746	0.5466378769
72	0.6530080417	0.4749793603	0.5463317507
73	0.6529066959	0.4744999867	0.546089835
74	0.652781657	0.4739673493	0.545811418
75	0.6526967632	0.4731151296	0.5453233877
76	0.6526364627	0.4726623878	0.5450190394
77	0.6525731126	0.4727156515	0.545122307
78	0.6524614021	0.4728488109	0.5453177309
79	0.6523475249	0.4727689153	0.5453260836
80	0.6522540132	0.4721830142	0.5448427393
81	0.6521652572	0.4719965911	0.5446611042
82	0.652087739	0.4717569043	0.5445769798
83	0.6519797726	0.4717569043	0.5446355824
84	0.6519679438	0.4714639538	0.5444312887
85	0.6519338713	0.4714639538	0.5444898963
86	0.6518830709	0.4710911076	0.5442852967
87	0.6518573414	0.4711710032	0.5444027325
88	0.6517261847	0.4707182615	0.5441224006
89	0.6516866943	0.4704519428	0.543948515
90	0.6515584468	0.4703187835	0.5438112981
91	0.6515419575	0.4701856241	0.5437912926
92	0.6514531305	0.4700524648	0.5437293984
93	0.6514138066	0.469812778	0.5435023723
94	0.6514134932	0.4696796186	0.5434404129
95	0.6514131983	0.4696529868	0.5434682117
96	0.6513937597	0.4694133	0.5433080575
97	0.6513855596	0.4693067725	0.5432601156
98	0.6513410004	0.4691736131	0.5431478341
99	0.6512096785	0.4692268769	0.5433518881
