iter	Passed	Remaining
0	59	5861
1	114	5610
2	167	5430
3	220	5303
4	285	5433
5	335	5257
6	391	5202
7	458	5271
8	513	5195
9	576	5192
10	634	5136
11	688	5049
12	743	4974
13	793	4874
14	851	4823
15	907	4763
16	969	4732
17	1025	4672
18	1091	4655
19	1150	4603
20	1203	4526
21	1248	4425
22	1306	4375
23	1365	4323
24	1410	4230
25	1462	4163
26	1520	4110
27	1577	4057
28	1634	4001
29	1690	3945
30	1751	3898
31	1807	3841
32	1866	3789
33	1924	3735
34	1985	3687
35	2044	3633
36	2099	3575
37	2158	3521
38	2215	3465
39	2272	3408
40	2335	3360
41	2391	3303
42	2450	3248
43	2510	3194
44	2576	3148
45	2634	3092
46	2695	3039
47	2756	2986
48	2817	2932
49	2869	2869
50	2897	2783
51	2945	2719
52	2992	2653
53	3037	2587
54	3083	2522
55	3128	2458
56	3174	2394
57	3231	2339
58	3289	2286
59	3347	2231
60	3404	2176
61	3463	2123
62	3521	2067
63	3580	2014
64	3636	1957
65	3679	1895
66	3725	1834
67	3769	1773
68	3813	1713
69	3859	1653
70	3903	1594
71	3947	1535
72	3997	1478
73	4041	1420
74	4085	1361
75	4130	1304
76	4175	1247
77	4204	1185
78	4251	1130
79	4296	1074
80	4341	1018
81	4387	963
82	4440	909
83	4503	857
84	4560	804
85	4622	752
86	4677	699
87	4718	643
88	4776	590
89	4838	537
90	4886	483
91	4911	427
92	4957	373
93	5008	319
94	5026	264
95	5046	210
96	5075	156
97	5099	104
98	5144	51
99	5194	0
