diag_code,diagnosis
390.0,circulatory
460.0,respiratory
520.0,digestive
800.0,injury
710.0,musculoskeletal
580.0,genitourinary
140.0,neoplasms
141.0,neoplasms
142.0,neoplasms
143.0,neoplasms
144.0,neoplasms
145.0,neoplasms
146.0,neoplasms
147.0,neoplasms
148.0,neoplasms
149.0,neoplasms
150.0,neoplasms
151.0,neoplasms
152.0,neoplasms
153.0,neoplasms
154.0,neoplasms
155.0,neoplasms
156.0,neoplasms
157.0,neoplasms
158.0,neoplasms
159.0,neoplasms
160.0,neoplasms
161.0,neoplasms
162.0,neoplasms
163.0,neoplasms
164.0,neoplasms
165.0,neoplasms
166.0,neoplasms
167.0,neoplasms
168.0,neoplasms
169.0,neoplasms
170.0,neoplasms
171.0,neoplasms
172.0,neoplasms
173.0,neoplasms
174.0,neoplasms
175.0,neoplasms
176.0,neoplasms
177.0,neoplasms
178.0,neoplasms
179.0,neoplasms
180.0,neoplasms
181.0,neoplasms
182.0,neoplasms
183.0,neoplasms
184.0,neoplasms
185.0,neoplasms
186.0,neoplasms
187.0,neoplasms
188.0,neoplasms
189.0,neoplasms
190.0,neoplasms
191.0,neoplasms
192.0,neoplasms
193.0,neoplasms
194.0,neoplasms
195.0,neoplasms
196.0,neoplasms
197.0,neoplasms
198.0,neoplasms
199.0,neoplasms
200.0,neoplasms
201.0,neoplasms
202.0,neoplasms
203.0,neoplasms
204.0,neoplasms
205.0,neoplasms
206.0,neoplasms
207.0,neoplasms
208.0,neoplasms
209.0,neoplasms
210.0,neoplasms
211.0,neoplasms
212.0,neoplasms
213.0,neoplasms
214.0,neoplasms
215.0,neoplasms
216.0,neoplasms
217.0,neoplasms
218.0,neoplasms
219.0,neoplasms
220.0,neoplasms
221.0,neoplasms
222.0,neoplasms
223.0,neoplasms
224.0,neoplasms
225.0,neoplasms
226.0,neoplasms
227.0,neoplasms
228.0,neoplasms
229.0,neoplasms
230.0,neoplasms
231.0,neoplasms
232.0,neoplasms
233.0,neoplasms
234.0,neoplasms
235.0,neoplasms
236.0,neoplasms
237.0,neoplasms
238.0,neoplasms
239.0,neoplasms
581.0,genitourinary
582.0,genitourinary
583.0,genitourinary
584.0,genitourinary
585.0,genitourinary
586.0,genitourinary
587.0,genitourinary
588.0,genitourinary
589.0,genitourinary
590.0,genitourinary
591.0,genitourinary
592.0,genitourinary
593.0,genitourinary
594.0,genitourinary
595.0,genitourinary
596.0,genitourinary
597.0,genitourinary
598.0,genitourinary
599.0,genitourinary
600.0,genitourinary
601.0,genitourinary
602.0,genitourinary
603.0,genitourinary
604.0,genitourinary
605.0,genitourinary
606.0,genitourinary
607.0,genitourinary
608.0,genitourinary
609.0,genitourinary
610.0,genitourinary
611.0,genitourinary
612.0,genitourinary
613.0,genitourinary
614.0,genitourinary
615.0,genitourinary
616.0,genitourinary
617.0,genitourinary
618.0,genitourinary
619.0,genitourinary
620.0,genitourinary
621.0,genitourinary
622.0,genitourinary
623.0,genitourinary
624.0,genitourinary
625.0,genitourinary
626.0,genitourinary
627.0,genitourinary
628.0,genitourinary
629.0,genitourinary
711.0,musculoskeletal
712.0,musculoskeletal
713.0,musculoskeletal
714.0,musculoskeletal
715.0,musculoskeletal
716.0,musculoskeletal
717.0,musculoskeletal
718.0,musculoskeletal
719.0,musculoskeletal
720.0,musculoskeletal
721.0,musculoskeletal
722.0,musculoskeletal
723.0,musculoskeletal
724.0,musculoskeletal
725.0,musculoskeletal
726.0,musculoskeletal
727.0,musculoskeletal
728.0,musculoskeletal
729.0,musculoskeletal
730.0,musculoskeletal
731.0,musculoskeletal
732.0,musculoskeletal
733.0,musculoskeletal
734.0,musculoskeletal
735.0,musculoskeletal
736.0,musculoskeletal
737.0,musculoskeletal
738.0,musculoskeletal
